Enseigne;Adresse;Nombre Points de charge;Puissance délivrée;Type de prise;Condition d'accès;Accessibilité;Coordonnees;Commune;Nom du département;Nom de la région;Commentaires;Nom de la borne
Révéo;Rue de la Fonderie 65000 TARBES;2;18.0;T2 - EF;payant;24/24 7/7 jours;43.24139,0.07373;Tarbes;HAUTES-PYRENEES;OCCITANIE;;B1
Révéo;Parking Monge 65100 LOURDES;2;18.0;T2 - EF;payant;24/24 7/7 jours;43.11171,-0.03067;Lourdes;HAUTES-PYRENEES;OCCITANIE;;B2
Révéo;rue Roquette Buisson 65400 ARGELES GAZOST;2;18.0;T2 - EF;payant;24/24 7/7 jours;43.00361,-0.10288;Argelès-Gazost;HAUTES-PYRENEES;OCCITANIE;;B3
Révéo;Place de Verdun 65420 IBOS;2;18.0;T2 - EF;payant;24/24 7/7 jours;43.23392,0.00135;Ibos;HAUTES-PYRENEES;OCCITANIE;;B4
Révéo;Avenue Des Châtaigners 65150 SAINT LAURENT DE NESTE;2;18.0;T2 - EF;payant;24/24 7/7 jours;43.08026,0.48102;Saint-Laurent-de-Neste;HAUTES-PYRENEES;OCCITANIE;;B5
E Born;Place les Vergnades 07110 LARGENTIERE;2;22.0;T2 - EF;payant;24/24 7/7 jours;44.538528,4.291861;Largentière;ARDECHE;AUVERGNE-RHONE-ALPES;;B6
E Born;Avenue de l'Europe Unie 07000 PRIVAS;2;22.0;T2 - EF;payant;24/24 7/7 jours;44.734181,4.598438;Privas;ARDECHE;AUVERGNE-RHONE-ALPES;;B7
E Born;Le Village 07530 MEZILHAC;2;22.0;T2 - EF;payant;24/24 7/7 jours;44.808022,4.351456;Mézilhac;ARDECHE;AUVERGNE-RHONE-ALPES;;B8
E Born;Place des Crottes 07220 ST THOME;2;22.0;T2 - EF;payant;24/24 7/7 jours;44.503,4.629389;Saint-Thomé;ARDECHE;AUVERGNE-RHONE-ALPES;;B9
E Born;Place du Cimeti?re 07400 LE TEIL;2;22.0;T2 - EF;payant;24/24 7/7 jours;44.550008,4.682286;Le Teil;ARDECHE;AUVERGNE-RHONE-ALPES;;B10
E Born;Boulevard Charles de Gaulle 07500 GUILHERAND GRANGES;2;22.0;T2 - EF;payant;24/24 7/7 jours;44.935071,4.883509;Guilherand-Granges;ARDECHE;AUVERGNE-RHONE-ALPES;;B11
E Born;Les Sagnes 07450 SAGNES ET GOUDOULET;2;22.0;T2 - EF;payant;24/24 7/7 jours;44.79045,4.226428;Sagnes-et-Goudoulet;ARDECHE;AUVERGNE-RHONE-ALPES;;B12
